future,market,xtMarket
ag, SF, SHFE
al, SF, SHFE
ao, SF, SHFE
br, SF, SHFE
bu, SF, SHFE
cu, SF, SHFE		
fu, SF, SHFE		
hc, SF, SHFE		
ni, SF, SHFE		
pb, SF, SHFE		
rb, SF, SHFE		
ru, SF, SHFE		
sn, SF, SHFE		
sp, SF, SHFE		
ss, SF, SHFE		
wr, SF, SHFE		
zn, SF, SHFE		
a, DF, DCE		
b, DF, DCE		
bb, DF, DCE		
c, DF, DCE		
cs, DF, DCE		
eb, DF, DCE		
eg, DF, DCE		
fb, DF, DCE		
i, DF, DCE		
j, DF, DCE		
jd, DF, DCE		
jm, DF, DCE		
l, DF, DCE		
lg, DF, DCE		
lh, DF, DCE		
m, DF, DCE		
p, DF, DCE		
pg, DF, DCE		
pp, DF, DCE		
rr, DF, DCE		
v, DF, DCE		
y, DF, DCE		
AP, ZF, CZCE		
CF, ZF, CZCE		
CJ, ZF, CZCE		
CY, ZF, CZCE		
FG, ZF, CZCE		
JR, ZF, CZCE		
LR, ZF, CZCE		
MA, ZF, CZCE		
OI, ZF, CZCE		
PF, ZF, CZCE		
PK, ZF, CZCE		
PM, ZF, CZCE		
PR, ZF, CZCE		
PX, ZF, CZCE		
RI, ZF, CZCE		
RM, ZF, CZCE		
RS, ZF, CZCE		
SA, ZF, CZCE		
SF, ZF, CZCE		
SH, ZF, CZCE		
SM, ZF, CZCE		
SR, ZF, CZCE		
TA, ZF, CZCE		
UR, ZF, CZCE		
WH, ZF, CZCE		
ZC, ZF, CZCE		
lc, GF, DFEX	
ps, GF, DFEX	
si, GF, DFEX	
sc, INE, INE	
