账号,合约代码,总持仓,方向,保证金
8000138,i2509-P-710,5,SELL,37982.5
709981,jd2509-P-3450,15,SELL,34342.5
709981,eb2508-P-7100,3,SELL,6373.499999999998
709981,TA509C5100,1,SELL,1050.3000000000002
709981,SM509P5300,4,SELL,6967.6
709981,lh2509-P-13600,1,SELL,14761.600000000002
709981,jd2509-P-3400,16,SELL,30471.999999999993
709981,i2509-P-640,5,SELL,20353.75
709981,ao2509P2750,3,SELL,11052.600000000002
709981,SH509P2280,5,SELL,21903.0
709981,OI509P8800,2,SELL,10172.8
709981,ps2509-C-48000,11,SELL,60008.84999999999
709981,ps2509-P-35000,4,SELL,26429.4
709981,ag2508P7800,1,SELL,10623.3
709981,jd2509-P-3550,4,SELL,12677.999999999998
709981,jd2509-C-3900,1,SELL,1399.7499999999998
709981,lc2511-P-60000,1,SELL,5560.0
709981,jd2509-P-3500,8,SELL,21676.0
709981,lc2509-P-60000,2,SELL,9472.0
709981,ag2508P8200,1,SELL,13915.8
709981,i2509-P-660,2,SELL,8713.0
709981,ps2509-P-35500,20,SELL,144413.99999999997
709981,lc2511,1,SELL,6410.0
709981,lc2509-P-57000,2,SELL,6726.0
709981,TA509C5300,3,SELL,3008.3999999999996
709981,CF509P12400,6,SELL,15688.499999999996
709981,rb2510P2850,8,SELL,9582.0
709981,m2509-C-3050,4,SELL,5139.0
709981,lh2509-P-13400,1,SELL,12561.600000000002
709981,ps2509-C-49000,21,SELL,112924.35000000003
709981,rb2510P2900,8,SELL,12244.0
709981,eb2508-C-7600,1,SELL,0.0
709981,FG509P1000,10,SELL,22380.0
709981,PK510C8700,2,SELL,4136.400000000001
709981,eb2508-P-7200,1,SELL,0.0
709981,ps2509-P-32000,1,SELL,5506.349999999999
709981,jd2508-P-3400,6,SELL,0.0
709981,MA509P2325,6,SELL,11682.0
709981,SH509P2360,2,SELL,12661.2
709981,TA509C5200,2,SELL,2045.6
709981,ps2509-P-36000,10,SELL,83637.0
709981,i2509-P-690,1,SELL,6146.5
709981,FG509P940,8,SELL,10304.0
709981,SR509C6200,6,SELL,12462.299999999997
709981,m2509-C-3150,2,SELL,2178.0
709981,ps2509-P-34000,21,SELL,127792.35000000002
709981,PK510C8800,3,SELL,5364.6
709981,lg2509-P-750,3,SELL,14358.599999999999
709981,lh2509-P-13200,1,SELL,10561.600000000002
709981,TA509P4400,2,SELL,2381.2
709981,pb2508P16400,1,SELL,6630.0
709981,TA509C5500,2,SELL,1955.6
709981,ps2509-C-50000,23,SELL,122506.04999999999
709981,i2509-P-700,6,SELL,41019.0
709981,ps2509-P-35500,4,SELL,28882.8
709981,sn2508P245000,1,SELL,22999.399999999998
709981,TA509P4550,2,SELL,3356.2000000000007
709981,CJ509P8900,1,SELL,3216.0
709981,UR509P1660,1,SELL,1933.6
709981,lc2509-P-58000,2,SELL,6886.0
709981,v2509-P-4750,10,SELL,15476.499999999998
709981,m2509-P-2800,1,SELL,0.0
709981,jd2508-C-3600,5,SELL,9344.999999999998
709981,TA509P4500,9,SELL,13527.900000000001
709981,ps2509-C-46000,7,SELL,40182.45
709981,TA509C5400,3,SELL,2963.3999999999996
709981,SH509P2320,2,SELL,10591.2
709981,ps2509-C-47000,9,SELL,50151.149999999994
709981,SH509P2240,7,SELL,24889.199999999997
709981,UR509C1800,2,SELL,6547.2
709981,CJ509P9100,1,SELL,3891.0
709981,SF509P5000,4,SELL,5528.0
709981,jd2508-C-3550,8,SELL,4427.999999999999
709981,jd2509-P-3400,5,SELL,9522.5
709981,lg2509-P-775,1,SELL,6698.7
709981,MA509P2200,8,SELL,9496.000000000002
709981,m2601-P-2800,4,SELL,5897.599999999999
709981,RM509P2500,3,SELL,7494.0
709981,jd2509-P-3450,3,SELL,6868.5
709981,CF509P12800,4,SELL,10758.999999999998
709981,ag2508C9100,1,SELL,18708.3
709981,TA509P4600,1,SELL,1870.6000000000004
709981,CJ509P9000,8,SELL,28328.0
709981,RM509P2450,1,SELL,2178.0
709981,MA509P2350,12,SELL,25824.0
709981,ao2509P2800,18,SELL,72331.20000000001
709981,m2601-P-2900,2,SELL,4568.799999999999
709981,ag2508P8100,4,SELL,52153.19999999998
709981,UR509P1640,1,SELL,1673.6
709981,i2509-P-670,1,SELL,4916.5
709981,ps2509-P-35000,20,SELL,132147.00000000003
